Product_ID,SKU_Code,Product_Name,Category,Sub_Category,Unit_Cost,Selling_Price,Weight_kg,Volume_m3,Shelf_Life_Days,Reorder_Level,Product_Status
PROD_0001,SKU-1001,Business Laptop Model-375,electronics,Premium,184,244.57,4.63,0.142,139,143,Active
PROD_0002,SKU-1002,Smart Barcode Scanner Model-874,electronics,Premium,463,666.49,14.29,0.17,357,314,Active
PROD_0003,SKU-1003,Safety Helmet Model-586,electronics,Premium,401,622.92,12.43,0.025,107,357,Active
PROD_0004,SKU-1004,Electric Actuator Model-793,electronics,Premium,314,480.47,3.89,0.154,178,185,Active
PROD_0005,SKU-1005,Warehouse Rack Model-143,Pharma,Premium,463,609.98,24.72,0.093,165,404,Active
PROD_0006,SKU-1006,Conveyor Motor Model-926,Electronics,Premium,213,334.15,10.31,0.085,256,241,Active
PROD_0007,SKU-1007,Safety Helmet Model-112,electronics,Economy,284,446.17,13.54,0.09,302,176,Active
PROD_0008,SKU-1008,LED Panel Light Model-876,Electronics,Premium,340,494.96,14.5,0.029,236,374,Active
PROD_0009,SKU-1009,Smart Barcode Scanner Model-492,Pharma,Economy,499,695.51,15.62,0.017,231,306,Active
PROD_0010,SKU-1010,LED Panel Light Model-810,Pharma,Premium,366,535.47,10.5,0.177,211,125,Active
PROD_0011,SKU-1011,Business Laptop Model-120,FMCG,Standard,187,292.46,8.46,0.17,140,216,Active
PROD_0012,SKU-1012,LED Panel Light Model-553,FMCG,Standard,203,322.97,18.49,0.125,135,196,Active
PROD_0013,SKU-1013,Business Laptop Model-516,Pharma,Economy,158,248.01,21.81,0.166,353,181,Active
PROD_0014,SKU-1014,Hydraulic Pump Model-513,Automotive,Economy,209,313.16,22.1,0.016,188,202,Active
PROD_0015,SKU-1015,Industrial Router Model-151,FMCG,Economy,177,223.3,5.78,0.08,327,358,Active
PROD_0016,SKU-1016,Packaging Tape Roll Model-797,Electronics,Premium,375,589.9,9.94,0.123,180,342,Active
PROD_0017,SKU-1017,Electric Actuator Model-267,FMCG,Economy,332,455.64,20.94,0.027,104,297,Active
PROD_0018,SKU-1018,Industrial Router Model-898,Automotive,Premium,133,206.0,16.54,0.139,227,433,Active
PROD_0019,SKU-1019,Packaging Tape Roll Model-899,Electronics,Standard,312,392.19,22.88,0.133,94,214,Active
PROD_0020,SKU-1020,Conveyor Motor Model-412,FMCG,Standard,361,552.97,22.49,0.172,325,229,Active
PROD_0021,SKU-1021,Warehouse Rack Model-633,electronics,Standard,288,390.46,15.03,0.011,281,387,Active
PROD_0022,SKU-1022,Electric Actuator Model-800,Electronics,Standard,361,486.97,2.53,0.198,256,241,Active
PROD_0023,SKU-1023,Conveyor Motor Model-767,FMCG,Premium,385,577.07,4.6,0.155,119,407,Active
PROD_0024,SKU-1024,Packaging Tape Roll Model-243,Electronics,Economy,388,528.4,12.94,0.066,304,307,Active
PROD_0025,SKU-1025,Packaging Tape Roll Model-825,electronics,Premium,427,539.03,9.24,0.146,363,426,Active
PROD_0026,SKU-1026,Business Laptop Model-407,Automotive,Economy,393,540.56,22.04,0.044,139,341,Active
PROD_0027,SKU-1027,LED Panel Light Model-927,electronics,Premium,429,575.09,23.73,0.181,135,213,Active
PROD_0028,SKU-1028,Smart Barcode Scanner Model-414,Pharma,Standard,164,247.72,9.92,0.121,327,160,Active
PROD_0029,SKU-1029,Business Laptop Model-697,electronics,Economy,77,119.6,2.71,0.179,346,161,Active
PROD_0030,SKU-1030,Packaging Tape Roll Model-155,Automotive,Premium,321,434.77,24.82,0.075,324,173,Active
PROD_0031,SKU-1031,Smart Barcode Scanner Model-897,Electronics,Standard,491,736.74,8.98,0.197,250,424,Active
PROD_0032,SKU-1032,Industrial Router Model-314,Automotive,Economy,52,73.23,19.35,0.103,135,166,Active
PROD_0033,SKU-1033,Electric Actuator Model-513,Pharma,Standard,272,400.31,10.2,0.017,192,474,Active
PROD_0034,SKU-1034,Smart Barcode Scanner Model-875,electronics,Premium,57,89.05,1.43,0.011,217,215,Active
PROD_0035,SKU-1035,Smart Barcode Scanner Model-492,electronics,Economy,209,270.68,8.35,0.022,113,252,Active
PROD_0036,SKU-1036,Conveyor Motor Model-710,electronics,Standard,283,425.84,11.41,0.14,158,275,Active
PROD_0037,SKU-1037,Business Laptop Model-268,Pharma,Premium,233,352.42,6.48,0.148,157,208,Active
